model_name,domain,ndcg@5,ndcg@10,recall@1,recall@5,recall@10,num_eval_queries,num_queries,num_corpus_scored,path
baseline_vdr_50k_best,computer_science,0.1860918919125207,0.20755949224762746,0.07008411485155681,0.178454489094024,0.2496834044508463,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/computer_science.json
baseline_vdr_50k_best,energy,0.13709793654387728,0.1586225027821761,0.0630030188065902,0.15124845516043048,0.21456856833054183,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/energy.json
baseline_vdr_50k_best,finance_en,0.1232182097380451,0.14017701439460067,0.05586643760456722,0.12514689442309737,0.17468149609424766,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/finance_en.json
baseline_vdr_50k_best,finance_fr,0.08134560022129982,0.09663790703838483,0.033028179864117414,0.08706461342635789,0.12969598043903602,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/finance_fr.json
baseline_vdr_50k_best,hr,0.08768111079706065,0.09779474702799912,0.03548517402197283,0.084626614017341,0.1196804738679904,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/hr.json
baseline_vdr_50k_best,industrial,0.07093640521887551,0.0755206436269847,0.03474357323738952,0.07007057822303456,0.08707032411315166,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/industrial.json
baseline_vdr_50k_best,pharmaceuticals,0.14173222079706432,0.1526400362234093,0.06907759850574309,0.14192287189866648,0.18129376888963508,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/pharmaceuticals.json
baseline_vdr_50k_best,physics,0.11696957761389311,0.12991995282179206,0.03191597174324559,0.10298564483762054,0.15127587147668145,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_best/physics.json
baseline_vdr_50k_final,computer_science,0.19048064435291143,0.21117957015321992,0.07133329848446138,0.18272545714406188,0.2519057858592741,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_final/computer_science.json
baseline_vdr_50k_final,energy,0.1380442231637923,0.1598955736550707,0.059853109853109834,0.15493663731079815,0.22003136936508794,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_final/energy.json
baseline_vdr_50k_final,finance_en,0.12623853072056493,0.1427070240623534,0.056588385858877946,0.12850180467525682,0.17664310393701863,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/baseline_vdr_50k_final/finance_en.json
